yearID,monthID,pollutantID,processID,sourceTypeID,fuelTypeID,roadTypeID,SCC,emissionQuant,pollutant_name,process_name,sourcetype_name,roadtype_name,fueltype_name
2022,7,185,15,61,1,4,2201610415,0.162453,Naphthalene gas,Crankcase Running Exhaust,Combination Short-haul Truck,Urban Restricted Access,Gasoline
2022,7,185,15,53,1,4,2201530415,2.3696,Naphthalene gas,Crankcase Running Exhaust,Single Unit Long-haul Truck,Urban Restricted Access,Gasoline
2022,7,185,15,52,1,4,2201520415,43.2917,Naphthalene gas,Crankcase Running Exhaust,Single Unit Short-haul Truck,Urban Restricted Access,Gasoline
2022,7,185,1,62,3,4,2203620401,0.0920666,Naphthalene gas,Running Exhaust,Combination Long-haul Truck,Urban Restricted Access,Compressed Natural Gas (CNG)
2022,7,185,1,61,3,4,2203610401,0.784998,Naphthalene gas,Running Exhaust,Combination Short-haul Truck,Urban Restricted Access,Compressed Natural Gas (CNG)
2022,7,185,1,53,3,4,2203530401,0.0995666,Naphthalene gas,Running Exhaust,Single Unit Long-haul Truck,Urban Restricted Access,Compressed Natural Gas (CNG)
2022,7,185,1,52,3,4,2203520401,2.24602,Naphthalene gas,Running Exhaust,Single Unit Short-haul Truck,Urban Restricted Access,Compressed Natural Gas (CNG)
2022,7,185,1,62,2,4,2202620401,69675.3,Naphthalene gas,Running Exhaust,Combination Long-haul Truck,Urban Restricted Access,Diesel Fuel
2022,7,185,1,61,2,4,2202610401,5802.31,Naphthalene gas,Running Exhaust,Combination Short-haul Truck,Urban Restricted Access,Diesel Fuel
2022,7,185,1,53,2,4,2202530401,1612.41,Naphthalene gas,Running Exhaust,Single Unit Long-haul Truck,Urban Restricted Access,Diesel Fuel
2022,7,185,1,52,2,4,2202520401,27794.1,Naphthalene gas,Running Exhaust,Single Unit Short-haul Truck,Urban Restricted Access,Diesel Fuel
2022,7,185,1,61,1,4,2201610401,12.307,Naphthalene gas,Running Exhaust,Combination Short-haul Truck,Urban Restricted Access,Gasoline
2022,7,185,1,53,1,4,2201530401,179.515,Naphthalene gas,Running Exhaust,Single Unit Long-haul Truck,Urban Restricted Access,Gasoline
2022,7,185,1,52,1,4,2201520401,3279.68,Naphthalene gas,Running Exhaust,Single Unit Short-haul Truck,Urban Restricted Access,Gasoline
2022,7,185,19,62,2,3,2202620319,3.53835E-12,Naphthalene gas,Refueling Spillage Loss,Combination Long-haul Truck,Rural Unrestricted Access,Diesel Fuel
2022,7,185,19,61,2,3,2202610319,9.18406E-13,Naphthalene gas,Refueling Spillage Loss,Combination Short-haul Truck,Rural Unrestricted Access,Diesel Fuel
2022,7,185,19,53,2,3,2202530319,6.42722E-14,Naphthalene gas,Refueling Spillage Loss,Single Unit Long-haul Truck,Rural Unrestricted Access,Diesel Fuel
2022,7,185,19,52,2,3,2202520319,7.94184E-13,Naphthalene gas,Refueling Spillage Loss,Single Unit Short-haul Truck,Rural Unrestricted Access,Diesel Fuel
2022,7,185,15,62,3,3,2203620315,2.88E-18,Naphthalene gas,Crankcase Running Exhaust,Combination Long-haul Truck,Rural Unrestricted Access,Compressed Natural Gas (CNG)
2022,7,185,15,61,3,3,2203610315,3.16E-17,Naphthalene gas,Crankcase Running Exhaust,Combination Short-haul Truck,Rural Unrestricted Access,Compressed Natural Gas (CNG)
2022,7,185,15,53,3,3,2203530315,4.85E-18,Naphthalene gas,Crankcase Running Exhaust,Single Unit Long-haul Truck,Rural Unrestricted Access,Compressed Natural Gas (CNG)
2022,7,185,15,52,3,3,2203520315,1.04E-16,Naphthalene gas,Crankcase Running Exhaust,Single Unit Short-haul Truck,Rural Unrestricted Access,Compressed Natural Gas (CNG)
2022,7,185,15,62,2,3,2202620315,1.45596E-11,Naphthalene gas,Crankcase Running Exhaust,Combination Long-haul Truck,Rural Unrestricted Access,Diesel Fuel
2022,7,185,15,61,2,3,2202610315,3.32576E-12,Naphthalene gas,Crankcase Running Exhaust,Combination Short-haul Truck,Rural Unrestricted Access,Diesel Fuel
2022,7,185,15,53,2,3,2202530315,3.38935E-13,Naphthalene gas,Crankcase Running Exhaust,Single Unit Long-haul Truck,Rural Unrestricted Access,Diesel Fuel
2022,7,185,15,52,2,3,2202520315,6.33119E-12,Naphthalene gas,Crankcase Running Exhaust,Single Unit Short-haul Truck,Rural Unrestricted Access,Diesel Fuel
2022,7,185,15,61,1,3,2201610315,2.83E-16,Naphthalene gas,Crankcase Running Exhaust,Combination Short-haul Truck,Rural Unrestricted Access,Gasoline
2022,7,185,15,53,1,3,2201530315,8.79727E-15,Naphthalene gas,Crankcase Running Exhaust,Single Unit Long-haul Truck,Rural Unrestricted Access,Gasoline
2022,7,185,15,52,1,3,2201520315,1.49394E-13,Naphthalene gas,Crankcase Running Exhaust,Single Unit Short-haul Truck,Rural Unrestricted Access,Gasoline
2022,7,185,1,62,3,3,2203620301,2.18E-16,Naphthalene gas,Running Exhaust,Combination Long-haul Truck,Rural Unrestricted Access,Compressed Natural Gas (CNG)
2022,7,185,1,61,3,3,2203610301,2.39612E-15,Naphthalene gas,Running Exhaust,Combination Short-haul Truck,Rural Unrestricted Access,Compressed Natural Gas (CNG)
2022,7,185,1,53,3,3,2203530301,3.67E-16,Naphthalene gas,Running Exhaust,Single Unit Long-haul Truck,Rural Unrestricted Access,Compressed Natural Gas (CNG)
2022,7,185,1,52,3,3,2203520301,7.89306E-15,Naphthalene gas,Running Exhaust,Single Unit Short-haul Truck,Rural Unrestricted Access,Compressed Natural Gas (CNG)
2022,7,185,1,62,2,3,2202620301,1.37621E-10,Naphthalene gas,Running Exhaust,Combination Long-haul Truck,Rural Unrestricted Access,Diesel Fuel
2022,7,185,1,61,2,3,2202610301,1.44494E-11,Naphthalene gas,Running Exhaust,Combination Short-haul Truck,Rural Unrestricted Access,Diesel Fuel
2022,7,185,1,53,2,3,2202530301,5.05815E-12,Naphthalene gas,Running Exhaust,Single Unit Long-haul Truck,Rural Unrestricted Access,Diesel Fuel
2022,7,185,1,52,2,3,2202520301,8.2764E-11,Naphthalene gas,Running Exhaust,Single Unit Short-haul Truck,Rural Unrestricted Access,Diesel Fuel
2022,7,185,1,61,1,3,2201610301,2.1452E-14,Naphthalene gas,Running Exhaust,Combination Short-haul Truck,Rural Unrestricted Access,Gasoline
2022,7,185,1,53,1,3,2201530301,6.6646E-13,Naphthalene gas,Running Exhaust,Single Unit Long-haul Truck,Rural Unrestricted Access,Gasoline
2022,7,185,1,52,1,3,2201520301,1.13177E-11,Naphthalene gas,Running Exhaust,Single Unit Short-haul Truck,Rural Unrestricted Access,Gasoline
2022,7,185,19,62,2,2,2202620219,3.36142E-12,Naphthalene gas,Refueling Spillage Loss,Combination Long-haul Truck,Rural Restricted Access,Diesel Fuel
2022,7,185,19,61,2,2,2202610219,8.78403E-13,Naphthalene gas,Refueling Spillage Loss,Combination Short-haul Truck,Rural Restricted Access,Diesel Fuel
2022,7,185,19,53,2,2,2202530219,6.14896E-14,Naphthalene gas,Refueling Spillage Loss,Single Unit Long-haul Truck,Rural Restricted Access,Diesel Fuel
2022,7,185,19,52,2,2,2202520219,7.62005E-13,Naphthalene gas,Refueling Spillage Loss,Single Unit Short-haul Truck,Rural Restricted Access,Diesel Fuel
2022,7,185,15,62,3,2,2203620215,1.72E-18,Naphthalene gas,Crankcase Running Exhaust,Combination Long-haul Truck,Rural Restricted Access,Compressed Natural Gas (CNG)
2022,7,185,15,61,3,2,2203610215,1.71E-17,Naphthalene gas,Crankcase Running Exhaust,Combination Short-haul Truck,Rural Restricted Access,Compressed Natural Gas (CNG)
2022,7,185,15,53,3,2,2203530215,2.69E-18,Naphthalene gas,Crankcase Running Exhaust,Single Unit Long-haul Truck,Rural Restricted Access,Compressed Natural Gas (CNG)
2022,7,185,15,52,3,2,2203520215,5.72E-17,Naphthalene gas,Crankcase Running Exhaust,Single Unit Short-haul Truck,Rural Restricted Access,Compressed Natural Gas (CNG)
2022,7,185,15,62,2,2,2202620215,1.00808E-11,Naphthalene gas,Crankcase Running Exhaust,Combination Long-haul Truck,Rural Restricted Access,Diesel Fuel
2022,7,185,15,61,2,2,2202610215,2.17607E-12,Naphthalene gas,Crankcase Running Exhaust,Combination Short-haul Truck,Rural Restricted Access,Diesel Fuel
