Year,Make,Fuel,License State
2006,FREIGHTLINER,diesel,IL
2004,FREIGHTLINER,diesel,IN
2001,VOLVO,diesel,IN
2007,Freightliner,diesel,IL
2001,VOLVO,diesel,IN
2009,MACK,diesel,IL
2000,FREIGHTLINER,diesel,IN
1998,FREIGHTLINER,diesel,IL
2004,PETERBILT,diesel,IN
2000,MACK,diesel,IL
1999,FREIGHTLINER,diesel,IN
1996,INTERNATIONAL,diesel,IN
2006,MACK,diesel,IN
2005,Volvo,diesel,IN
1999,KENWORTH,diesel,IL
2007,INTERNATIONAL,diesel,IN
1999,INTERNATIONAL,diesel,IN
2004,VOLVO,diesel,IN
2006,INTERNATIONAL,diesel,IN
2012,FREIGHTLINER,diesel,IL
2012,Volvo,diesel,IN
2009,FREIGHTLINER,diesel,IL
1998,FREIGHTLINER,diesel,IN
2007,VOLVO,diesel,IL
2005,FREIGHTLINER,diesel,IL
2013,VOLVO,diesel,IL
2014,FREIGHTLINER,diesel,IN
2007,FREIGHTLINER,diesel,IL
2013,FREIGHTLINER,diesel,IN
1998,VOLVO,diesel,IN
2012,FREIGHTLINER,diesel,IN
2003,Volvo,diesel,IL
2007,FREIGHTLINER,diesel,IN
2003,VOLVO,diesel,IN
2000,PETERBILT,diesel,IN
2006,FREIGHTLINER,diesel,IN
2004,FREIGHTLINER,diesel,IN
2013,VOLVO,diesel,IN
2016,FREIGHTLINER,diesel,IN
1999,FREIGHTLINER,diesel,IL
2013,Volvo,diesel,IN
2001,Freightliner,diesel,IN
2016,International,diesel,IN
2006,FREIGHTLINER,diesel,IN
2014,Freightliner,diesel,IN
1998,FREIGHTLINER,diesel,IL
2000,KENWORTH,diesel,IL
1999,Volvo,diesel,IN
2015,International,diesel,IL
2004,Mack,diesel,IN
2002,FREIGHTLINER,diesel,IL
2000,Freightliner,diesel,IL
1999,International,diesel,IN
2013,Freightliner,diesel,IL
2014,International,diesel,IL
2012,Freightliner,diesel,IL
2003,Freightliner,diesel,IL
2016,International,diesel,IL
2013,Volvo,diesel,IL
2017,Kenworth,diesel,IN
2014,Freightliner,diesel,IL
2012,FREIGHTLINER,diesel,IL
2015,International,diesel,IN
2009,Volvo,diesel,IL
2007,Freightliner,diesel,IL
2016,Freightliner,diesel,IL
2013,Freightliner,diesel,IL
2007,Freightliner,diesel,VA
2010,INTERNATIONAL,diesel,IN
2018,INTERNATIONAL,diesel,IN
2015,FREIGHTLINER,diesel,IN
2012,VOLVO,diesel,IN
2006,Volvo,diesel,MD
2010,Freightliner,diesel,MD
2009,,diesel,MD
2014,Freightliner,diesel,IN
2006,Freightliner,diesel,IN
2018,Volvo,diesel,IN
2006,INTERNATIONAL,diesel,IN
2000,INTERNATIONAL,diesel,IN
2018,freightliner,diesel,IN
2018,Freightliner,diesel,IN
2013,INTERNATIONAL,diesel,IN
1997,KENWORTH,diesel,IN
2007,Freightliner,diesel,IN
2012,FREIGHTLINER,diesel,IN
2018,FREIGHTLINER,diesel,MD
2021,VOLVO TRUCK,diesel,IN
2007,VOLVO TRUCK,diesel,FL
2018,freightliner,diesel,IN
2015,FREIGHTLINER,diesel,IN
2017,freightliner,diesel,IN
2021,international,diesel,IN
2018,international,diesel,IN
2017,peterbilt,diesel,
1998,freightliner,diesel,IN
2009,FREIGHTLINER,diesel,IL
2015,International,diesel,IN
2012,International,diesel,IN
,,diesel,
2022,Freightliner,diesel,IN
2004,Freightliner,diesel,IN
2013,FREIGHTLINER,diesel,IN
2023,Freightliner,diesel,IN
2009,INTERNATIONAL,diesel,SC
2017,International,diesel,SC
2016,Freightliner,diesel,SC
2005,Freightliner,diesel,SC
2015,Freightliner,diesel,SC
1998,,diesel,IN
2020,Peterbilt,gasoline,IN
2019,Freightliner,diesel,SC
2016,,diesel,SC
,International,diesel,SC
,International,diesel,
2005,Volvo,diesel,SC
