yearID,monthID,pollutantID,processID,sourceTypeID,fuelTypeID,roadTypeID,SCC,emissionQuant,pollutant_name,process_name,roadtype_name,sourcetype_name
2022,7,1,1,52,1,4,2201520401,1841310,Total Gaseous Hydrocarbons,Running Exhaust,Urban Restricted Access,Single Unit Short-haul Truck
2022,7,1,18,52,1,1,2201520118,1676830,Total Gaseous Hydrocarbons,Refueling Displacement Vapor Loss,Off-Network,Single Unit Short-haul Truck
2022,7,1,15,62,2,5,2202620515,1541530,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Unrestricted Access,Combination Long-haul Truck
2022,1,1,15,62,2,5,2202620515,1502190,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Unrestricted Access,Combination Long-haul Truck
2022,1,1,2,61,2,1,2202610102,1458360,Total Gaseous Hydrocarbons,Start Exhaust,Off-Network,Combination Short-haul Truck
2022,7,1,1,61,2,4,2202610401,1443810,Total Gaseous Hydrocarbons,Running Exhaust,Urban Restricted Access,Combination Short-haul Truck
2022,7,1,1,61,3,1,2203610101,1427000,Total Gaseous Hydrocarbons,Running Exhaust,Off-Network,Combination Short-haul Truck
2022,1,1,1,52,1,4,2201520401,1401160,Total Gaseous Hydrocarbons,Running Exhaust,Urban Restricted Access,Single Unit Short-haul Truck
2022,1,1,1,61,2,4,2202610401,1384650,Total Gaseous Hydrocarbons,Running Exhaust,Urban Restricted Access,Combination Short-haul Truck
2022,1,1,1,61,3,1,2203610101,1369610,Total Gaseous Hydrocarbons,Running Exhaust,Off-Network,Combination Short-haul Truck
2022,7,1,19,52,2,5,2202520519,1273280,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,7,1,15,62,2,4,2202620415,1159330,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Restricted Access,Combination Long-haul Truck
2022,1,1,15,62,2,4,2202620415,1129450,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Restricted Access,Combination Long-haul Truck
2022,7,1,19,61,2,5,2202610519,1128910,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Unrestricted Access,Combination Short-haul Truck
2022,1,1,19,52,2,5,2202520519,1097550,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,1,1,19,61,2,5,2202610519,1082250,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Unrestricted Access,Combination Short-haul Truck
2022,7,1,1,53,3,5,2203530501,1061160,Total Gaseous Hydrocarbons,Running Exhaust,Urban Unrestricted Access,Single Unit Long-haul Truck
