Year,Make,Fuel,License State
2000,Freightliner,diesel,NJ
2015,FREIGHTLINER,diesel,NY
2014,FREIGHTLINER,diesel,NJ
2013,Freightliner,diesel,NJ
2012,Volvo,diesel,NJ
2019,FREIGHTLINER,diesel,NJ
2018,INTERNATIONAL,diesel,IN
2019,FREIGHTLINER,diesel,NJ
2015,Freightliner,diesel,NJ
2017,FREIGHTLINER,diesel,IN
2020,kenworth,diesel,IN
2021,Kenworth,diesel,
1995,Freightliner,diesel,FL
2019,International,diesel,IN
2017,Freightliner,diesel,IN
2004,Freightliner,diesel,FL
2016,INTERNATIONAL,diesel,FL
2016,FREIGHTLINER,diesel,FL
2011,FREIGHTLINER,diesel,FL
2015,FREIGHTLINER,diesel,FL
2017,FREIGHTLINER,diesel,IN
2014,VOLVO TRUCK,diesel,FL
2009,FREIGHTLINER,diesel,IN
2016,volvo truck,diesel,
2020,volvo truck,diesel,
1999,FREIGHTLINER,diesel,IN
2013,FREIGHTLINER,diesel,IN
2018,FREIGHTLINER,diesel,IN
2017,FREIGHTLINER,diesel,IN
2017,FREIGHTLINER,diesel,IN
2014,FREIGHTLINER,diesel,IN
2016,FREIGHTLINER,diesel,IN
2017,FREIGHTLINER,diesel,IN
2016,WESTERN STAR,diesel,IN
2000,peterbilt,diesel,IN
2019,Freightliner,diesel,IN
2016,International,diesel,IN
2007,Freightliner,diesel,IN
2011,Volvo,diesel,IN
2005,Freightliner,diesel,GA
2011,Freightliner,diesel,GA
2002,INTERNATIONAL,diesel,GA
2019,FREIGHTLINER,diesel,IN
2014,Freightliner,diesel,GA
2019,FREIGHTLINER,diesel,GA
2006,VOLVO TRUCK,diesel,IN
2019,KENWORTH,diesel,IN
2001,INTERNATIONAL,diesel,IN
2000,FREIGHTLINER,diesel,IN
2000,FREIGHTLINER,diesel,FL
2015,KENWORTH,diesel,FL
2019,INTERNATIONAL,diesel,IN
2007,freightliner,diesel,IN
2014,volvo truck,diesel,IN
2013,volvo truck,diesel,IN
2012,volvo truck,diesel,IN
2013,kenworth,diesel,IN
2007,peterbilt,diesel,IN
2006,international,diesel,IN
2016,kenworth,diesel,IN
2014,freightliner,diesel,IN
2001,volvo truck,diesel,IN
2001,volvo truck,diesel,IN
2009,volvo truck,diesel,IN
2006,freightliner,diesel,IN
2015,freightliner,diesel,IN
2017,freightliner,diesel,IN
2007,volvo truck,diesel,IN
2010,volvo truck,diesel,IN
2014,volvo truck,diesel,IN
2016,international,diesel,IN
2012,freightliner,diesel,IN
2017,freightliner,diesel,IN
2012,freightliner,diesel,IN
2012,volvo truck,diesel,IN
2017,volvo truck,diesel,IN
2006,volvo truck,diesel,IN
2007,kenworth,diesel,IN
2006,international,diesel,IN
2019,kenworth,diesel,IN
2017,freightliner,diesel,IN
2018,kenworth,diesel,IN
2015,volvo truck,diesel,IN
2012,freightliner,diesel,IN
2007,freightliner,diesel,IN
1998,freightliner,diesel,IN
2019,kenworth,diesel,IN
2000,international,diesel,IN
2014,freightliner,diesel,IN
2016,volvo truck,diesel,IN
2013,volvo truck,diesel,IN
2014,freightliner,diesel,IN
2003,peterbilt,diesel,IN
2003,freightliner,diesel,IN
2019,freightliner,diesel,IN
2005,volvo truck,diesel,IN
2001,freightliner,diesel,IN
2007,freightliner,diesel,IN
2004,freightliner,diesel,IN
2016,kenworth,diesel,IN
2011,volvo truck,diesel,IN
2019,kenworth,diesel,IN
2017,peterbilt,diesel,IN
2012,volvo truck,diesel,IN
2003,freightliner,diesel,IN
2013,volvo truck,diesel,IN
2014,volvo truck,diesel,IN
2020,mack,diesel,IN
2003,freightliner,diesel,IN
2018,international,diesel,IN
2005,kenworth,diesel,IN
2017,volvo truck,diesel,IN
2014,volvo truck,diesel,IN
2015,volvo truck,diesel,IN
2012,Freightliner,diesel,IN
2014,International,diesel,IN
2016,FREIGHTLINER,diesel,IN
2016,FREIGHTLINER,diesel,IN
2017,Freightliner,diesel,IN
,Freightliner,diesel,IN
2019,INTERNATIONAL,diesel,IN
2019,INTERNATIONAL,diesel,IN
2019,INTERNATIONAL,diesel,IN
2019,INTERNATIONAL,diesel,IN
2020,INTERNATIONAL,diesel,IN
2020,INTERNATIONAL,diesel,IN
2020,international,diesel,IN
